Stream,Depth
Metadata Attribute,Value
Frame Counter,28
Frame Timestamp,512652854
Sensor Timestamp,512646787
Actual Exposure,12135
Gain Level,16
Auto Exposure,1
Time Of Arrival,1749676928290
Backend Timestamp,1749676928283
Actual Fps,30013
Frame Laser Power,150
Frame Laser Power Mode,1
Exposure Priority,1
Exposure Roi Left,80
Exposure Roi Right,560
Exposure Roi Top,60
Exposure Roi Bottom,420
Frame Emitter Mode,1
Raw Frame Size,614400
Gpio Input Data,251
Sequence Name,0
Sequence Id,0
Sequence Size,0
